source_id,display_name,normalized_name,instagram_handle,instagram_url,raw_category,normalized_source_type,source_role,mvp_relevance,authority_tier,verification_status,duplicate_group,official_website,event_page_url,usual_ticketing_platform,useful_content_types,proposed_scan_priority,access_method_status,last_verified_at,notes
"le-belmont","Le Belmont","Le Belmont","lebelmont","https://www.instagram.com/lebelmont/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-national","Le National","Le National","lenationalmtl","https://www.instagram.com/lenationalmtl/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"groove-nation","Groove Nation","Groove Nation","groovenationmtl","https://www.instagram.com/groovenationmtl/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"societe-des-arts-technologiques-sat","Société des arts technologiques (SAT)","Societe des arts technologiques (SAT)","sat_montreal","https://www.instagram.com/sat_montreal/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-studio-td","Le Studio TD","Le Studio TD","lestudiotd","https://www.instagram.com/lestudiotd/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"place-des-arts","Place des Arts","Place des Arts","placedesarts","https://www.instagram.com/placedesarts/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"maison-symphonique-de-montreal","Maison symphonique de Montréal","Maison symphonique de Montreal","maisonsymphonique","https://www.instagram.com/maisonsymphonique/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-gesu","Le Gesù","Le Gesu","legesu","https://www.instagram.com/legesu/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"usine-c","Usine C","Usine C","usine_c","https://www.instagram.com/usine_c/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"centre-phi","Centre Phi","Centre Phi","phicentre","https://www.instagram.com/phicentre/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"theatre-outremont","Théâtre Outremont","Theatre Outremont","theatreoutremont","https://www.instagram.com/theatreoutremont/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"monument-national","Monument-National","Monument-National","monument_national","https://www.instagram.com/monument_national/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"cabaret-lion-d-or","Cabaret Lion d’Or","Cabaret Lion d’Or","cabaretliondor","https://www.instagram.com/cabaretliondor/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"bain-mathieu","Bain Mathieu","Bain Mathieu","bainmathieu","https://www.instagram.com/bainmathieu/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"la-chapelle-scenes-contemporaines","La Chapelle Scènes Contemporaines","La Chapelle Scenes Contemporaines","lachapelletheatre","https://www.instagram.com/lachapelletheatre/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"espace-st-denis","Espace St-Denis","Espace St-Denis","espacestdenis","https://www.instagram.com/espacestdenis/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-verre-bouteille","Le Verre Bouteille","Le Verre Bouteille","leverrebouteille","https://www.instagram.com/leverrebouteille/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"theatre-de-quat-sous","Théâtre de Quat’Sous","Theatre de Quat’Sous","theatrequatsous","https://www.instagram.com/theatrequatsous/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"espace-libre","Espace Libre","Espace Libre","espacelibre_mtl","https://www.instagram.com/espacelibre_mtl/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"theatre-la-licorne","Théâtre La Licorne","Theatre La Licorne","theatrelalicorne","https://www.instagram.com/theatrelalicorne/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-livart","Le Livart","Le Livart","lelivart","https://www.instagram.com/lelivart/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"arsenal-art-contemporain","Arsenal Art Contemporain","Arsenal Art Contemporain","arsenalcontemporary","https://www.instagram.com/arsenalcontemporary/","Salles de concert et espaces culturels","venue","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"new-city-gas","New City Gas","New City Gas","newcitygas","https://www.instagram.com/newcitygas/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"stereo-montreal","Stereo Montreal","Stereo Montreal","stereomontreal","https://www.instagram.com/stereomontreal/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"stereobar","StereoBar","StereoBar","stereobarmtl","https://www.instagram.com/stereobarmtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"club-pelicano","Club Pelicano","Club Pelicano","clubpelicanomtl","https://www.instagram.com/clubpelicanomtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"datcha","Datcha","Datcha","datchamtl","https://www.instagram.com/datchamtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-rouge-bar","Le Rouge Bar","Le Rouge Bar","rougebarmtl","https://www.instagram.com/rougebarmtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"muzique","Muzique","Muzique","muziquemontreal","https://www.instagram.com/muziquemontreal/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"la-voute","La Voûte","La Voute","lavoutemontreal","https://www.instagram.com/lavoutemontreal/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"bord-elle","Bord’Elle","Bord’Elle","bordellemtl","https://www.instagram.com/bordellemtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"yoko-luna","Yoko Luna","Yoko Luna","yokolunamtl","https://www.instagram.com/yokolunamtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"soubois","Soubois","Soubois","soubois","https://www.instagram.com/soubois/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"flyjin","Flyjin","Flyjin","flyjinmtl","https://www.instagram.com/flyjinmtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"apt-200","Apt. 200","Apt. 200","apt200mtl","https://www.instagram.com/apt200mtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"ecole-privee","École Privée","Ecole Privee","ecoleprivee","https://www.instagram.com/ecoleprivee/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"salon-daome","Salon Daomé","Salon Daome","lesalondaome","https://www.instagram.com/lesalondaome/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"newspeak","Newspeak","Newspeak","newspeakmtl","https://www.instagram.com/newspeakmtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"club-unity","Club Unity","Club Unity","clubunity","https://www.instagram.com/clubunity/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"cabaret-mado","Cabaret Mado","Cabaret Mado","cabaretmado","https://www.instagram.com/cabaretmado/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"complexe-sky","Complexe Sky","Complexe Sky","complexesky","https://www.instagram.com/complexesky/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-stud","Le Stud","Le Stud","lestudbar","https://www.instagram.com/lestudbar/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"salsatheque","Salsathèque","Salsatheque","salsathequemtl","https://www.instagram.com/salsathequemtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-jiao","Le Jiao","Le Jiao","jiaomtl","https://www.instagram.com/jiaomtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"don-b-comber","Don B Comber","Don B Comber","donbcomber","https://www.instagram.com/donbcomber/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"peopl","Peopl","Peopl","clubpeopl","https://www.instagram.com/clubpeopl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"sans-soleil","Sans Soleil","Sans Soleil","sanssoleilmtl","https://www.instagram.com/sanssoleilmtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"velvet-speakeasy","Velvet Speakeasy","Velvet Speakeasy","velvet_auberge_st_gabriel","https://www.instagram.com/velvet_auberge_st_gabriel/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"somwhr-liquor-lounge","Somwhr Liquor Lounge","Somwhr Liquor Lounge","somwhrmtl","https://www.instagram.com/somwhrmtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"blvd44","BLVD44","BLVD44","blvd44montreal","https://www.instagram.com/blvd44montreal/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"pangea","Pangea","Pangea","pangeamtl","https://www.instagram.com/pangeamtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"mila","Mila","Mila","milamontreal","https://www.instagram.com/milamontreal/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-wiggle-room","Le Wiggle Room","Le Wiggle Room","wiggleroommtl","https://www.instagram.com/wiggleroommtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"stock-bar","Stock Bar","Stock Bar","stockbar_mtl","https://www.instagram.com/stockbar_mtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"aigle-noir","Aigle Noir","Aigle Noir","aiglenoir_mtl","https://www.instagram.com/aiglenoir_mtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"bar-le-cocktail","Bar Le Cocktail","Bar Le Cocktail","barlecocktail","https://www.instagram.com/barlecocktail/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"le-saloon","Le Saloon","Le Saloon","lesaloonbistro","https://www.instagram.com/lesaloonbistro/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"hang-bar","Hang Bar","Hang Bar","hangbarmtl","https://www.instagram.com/hangbarmtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"la-shop","La Shop","La Shop","lashop.mtl","https://www.instagram.com/lashop.mtl/","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","",""
"tonic-club","Tonic Club","Tonic Club","","","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","","instagram_handle_needs_research"
"la-casona","La Casona","La Casona","","","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","","instagram_handle_needs_research"
"fritz-speakeasy","Fritz Speakeasy","Fritz Speakeasy","","","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","","instagram_handle_needs_research"
"club-649","Club 649","Club 649","","","Boîtes de nuit, clubs et cabarets","nightclub","primary_official","qualifying_event_host","tier_1_primary","unverified","","","","","posts,reels,stories","high","needs_research","","instagram_handle_needs_research"
"atwater-cocktail-club","Atwater Cocktail Club","Atwater Cocktail Club","atwatercocktailclub","https://www.instagram.com/atwatercocktailclub/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"milky-way-cocktail-bar","Milky Way Cocktail Bar","Milky Way Cocktail Bar","milkywaycocktailbar","https://www.instagram.com/milkywaycocktailbar/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"the-coldroom","The Coldroom","The Coldroom","thecoldroommtl","https://www.instagram.com/thecoldroommtl/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"el-pequeno-bar","El Pequeño Bar","El Pequeno Bar","elpequenobar","https://www.instagram.com/elpequenobar/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"gokudo","Gokudo","Gokudo","gokudomtl","https://www.instagram.com/gokudomtl/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"cloakroom-bar","Cloakroom Bar","Cloakroom Bar","cloakroombar","https://www.instagram.com/cloakroombar/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"bar-george","Bar George","Bar George","bargeorgemtl","https://www.instagram.com/bargeorgemtl/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"nacarat","Nacarat","Nacarat","barnacarat","https://www.instagram.com/barnacarat/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"marcus-lounge-bar","Marcus Lounge & Bar","Marcus Lounge & Bar","marcusmontreal","https://www.instagram.com/marcusmontreal/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"le-mal-necessaire","Le Mal Nécessaire","Le Mal Necessaire","lemalnecessaire","https://www.instagram.com/lemalnecessaire/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"snowbird-tiki-bar","Snowbird Tiki Bar","Snowbird Tiki Bar","snowbirdtikibar","https://www.instagram.com/snowbirdtikibar/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"bar-darling","Bar Darling","Bar Darling","bardarling","https://www.instagram.com/bardarling/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"bar-majestique","Bar Majestique","Bar Majestique","barmajestique","https://www.instagram.com/barmajestique/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"rouge-gorge","Rouge Gorge","Rouge Gorge","rougegorge_mtl","https://www.instagram.com/rougegorge_mtl/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"le-royal","Le Royal","Le Royal","barleroyal","https://www.instagram.com/barleroyal/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"bar-henrietta","Bar Henrietta","Bar Henrietta","barhenrietta","https://www.instagram.com/barhenrietta/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"buvette-chez-simone","Buvette Chez Simone","Buvette Chez Simone","buvettechezsimone","https://www.instagram.com/buvettechezsimone/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"brasserie-dieu-du-ciel","Brasserie Dieu du Ciel!","Brasserie Dieu du Ciel!","brasseriedieuduciel","https://www.instagram.com/brasseriedieuduciel/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"pit-caribou-montreal","Pit Caribou Montréal","Pit Caribou Montreal","pitcariboumtl","https://www.instagram.com/pitcariboumtl/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"pub-l-ile-noire","Pub L’Île Noire","Pub L’Ile Noire","pubilenoire","https://www.instagram.com/pubilenoire/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"burgundy-lion","Burgundy Lion","Burgundy Lion","burgundylion","https://www.instagram.com/burgundylion/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"ye-olde-orchard","Ye Olde Orchard","Ye Olde Orchard","yeoldeorchard","https://www.instagram.com/yeoldeorchard/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"hurley-s-irish-pub","Hurley’s Irish Pub","Hurley’s Irish Pub","hurleysirishpub","https://www.instagram.com/hurleysirishpub/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"mckibbin-s-irish-pub","McKibbin’s Irish Pub","McKibbin’s Irish Pub","mckibbins_pub","https://www.instagram.com/mckibbins_pub/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"grumpy-s-bar","Grumpy’s Bar","Grumpy’s Bar","grumpysbarmtl","https://www.instagram.com/grumpysbarmtl/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"bar-de-courcelle","Bar de Courcelle","Bar de Courcelle","bardecourcelle","https://www.instagram.com/bardecourcelle/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"bar-loic","Bar Loïc","Bar Loic","barloic","https://www.instagram.com/barloic/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"taverne-cobra","Taverne Cobra","Taverne Cobra","tavernecobra","https://www.instagram.com/tavernecobra/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
"notre-dame-des-quilles","Notre Dame Des Quilles","Notre Dame Des Quilles","ndqmtl","https://www.instagram.com/ndqmtl/","Bars, pubs, microbrasseries, buvettes et terrasses","bar","primary_official","scheduled_events_only","tier_2_contextual","unverified","","","","","posts,reels,stories","normal","needs_research","",""
